change_type,mall_code,name,old_category,new_category,old_level,new_level,reason
category,MALL_08917C8A,新疆商贸城,department_store,shopping_mall,,,keyword_shopping
category,MALL_F01ACD90,乔黎繁商场,department_store,shopping_mall,,,typecode_0601
category,MALL_4C854526,伊宁市跨境电商服务有限公司,department_store,shopping_mall,,,typecode_0601
category,MALL_B04B5FCF,伊犁国际大巴扎,department_store,shopping_mall,,,typecode_0601
category,MALL_3181DFF4,伊犁大巴扎B段,department_store,shopping_mall,,,typecode_0601
category,MALL_AE41DEFD,兜兜商城,department_store,shopping_mall,,,keyword_shopping
category,MALL_FC42D05F,呼勒佳购物中心,department_store,shopping_mall,,,keyword_shopping
category,MALL_21A71111,大世界购物广场(解放西路),department_store,shopping_mall,,,keyword_shopping
category,MALL_691F98CC,新红旗商城(斯大林东路),department_store,shopping_mall,,,keyword_shopping
category,MALL_5A895E2B,星河大地时尚广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_A0F8D6F1,爱家购物广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_BA66BDE7,美居商贸城,department_store,shopping_mall,,,keyword_shopping
category,MALL_5D2220AF,美美·时尚(解放西路),department_store,shopping_mall,,,typecode_0601
category,MALL_E154B20C,一品汇地下商城,department_store,shopping_mall,,,keyword_shopping
category,MALL_92B3AA7D,三洋广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_69644B8B,地王广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_A1BCFA79,塞特名品广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_AC432E6F,宏源时代屯垦文化小镇,department_store,lifestyle_center,,,keyword_lifestyle
category,MALL_A97397F4,小龙人时尚购物,department_store,shopping_mall,,,keyword_shopping
category,MALL_B2DB5B56,屯业商城,department_store,shopping_mall,,,keyword_shopping
category,MALL_76DDF8E2,时代商城(乌鲁木齐西路),department_store,shopping_mall,,,keyword_shopping
category,MALL_9B0589DF,汇中商厦,department_store,shopping_mall,,,typecode_0601
category,MALL_4E3CAD46,百花购物广场,department_store,shopping_mall,,,keyword_shopping
category,MALL_383E384C,金桥商场(乌鲁木齐西路),department_store,shopping_mall,,,typecode_0601
category,MALL_F4F667E8,新疆伊犁尼勒克县广场商贸城,department_store,shopping_mall,,,keyword_shopping
category,MALL_EB92EEC3,亚欧商贸城,department_store,shopping_mall,,,keyword_shopping
category,MALL_1214D18A,国韵生活超市,shopping_mall,lifestyle_center,,,keyword_lifestyle
category,MALL_2880CF44,崇尚商贸城,department_store,shopping_mall,,,keyword_shopping
category,MALL_3A64C1FE,鑫通源商场,department_store,shopping_mall,,,typecode_0601
category,MALL_E67BD2BD,世纪商贸城,department_store,shopping_mall,,,keyword_shopping
