old_id,old_mall_code,old_name,master_id,master_mall_code,master_name,merge_reason
25744,MALL_E819BF62,中山商场,25743,MALL_92847525,中山商场,same_name_norm_same_district
27900,MALL_FA7B4A6A,中心城商业广场,27899,MALL_52C07D8B,中心城,same_name_norm_same_district
26665,MALL_FBD2C61D,中闽百汇商场,26664,MALL_43A09DFA,中闽百汇商场,same_name_norm_same_district
19540,MALL_7986FC01,丹尼斯百货,19539,MALL_AF0DAEC2,丹尼斯,same_name_norm_same_district
11249,MALL_4D6B2F49,丽日购物广场,11248,MALL_4CD4677F,丽日购物广场,same_name_norm_same_district
23520,MALL_ABACEF8B,丽红购物广场,23519,MALL_CC8A7748,丽红购物中心,same_name_norm_same_district
7905,MALL_3BB794A2,丽都购物广场,7904,MALL_16F51E32,丽都购物广场,same_name_norm_same_district
20947,MALL_FCF40AB2,乐山商场,20946,MALL_7AF90E7C,乐山商场,same_name_norm_same_district
20948,MALL_CF0EE5D7,乐山商场,20946,MALL_7AF90E7C,乐山商场,same_name_norm_same_district
6815,MALL_5759A108,九州购物广场,6814,MALL_81533F5B,九州购物中心,same_name_norm_same_district
6796,MALL_D2E6F9AB,九州商业大厦,6794,MALL_21ED03BD,九州商业大厦,same_name_norm_same_district
5060,MALL_4F1223E7,人民商场,5059,MALL_B2232673,人民商场,same_name_norm_same_district
29115,MALL_4E35805F,亿丰购物中心,29114,MALL_E0645FB1,亿丰购物中心,same_name_norm_same_district
29116,MALL_29181235,亿丰购物中心,29114,MALL_E0645FB1,亿丰购物中心,same_name_norm_same_district
27854,MALL_E8751269,亿家人购物广场,27853,MALL_36AF9AB5,亿家人购物中心,same_name_norm_same_district
3816,MALL_813DE843,伊藤洋华堂,3815,MALL_90BE490D,伊藤洋华堂,same_name_norm_same_district
8192,MALL_9C32CECE,众客隆生活广场,8191,MALL_3E411E20,众客隆生活广场,same_name_norm_same_district
25532,MALL_4A662109,供销商场,25531,MALL_15335880,供销商场,same_name_norm_same_district
7767,MALL_FEEE96FE,供销大厦,7766,MALL_0C492437,供销大厦,same_name_norm_same_district
16873,MALL_7DECEF2B,供销社商场,16872,MALL_16E30736,供销社商场,same_name_norm_same_district
17720,MALL_4BB71322,信和商厦,17719,MALL_8419A80B,信和商厦,same_name_norm_same_district
642,MALL_735F63E0,光大购物中心,641,MALL_FB08E75D,光大购物中心,same_name_norm_same_district
31654,MALL_C18081F1,克东商贸城,31653,MALL_0ED1AF65,克东商贸城,same_name_norm_same_district
17190,MALL_2A9F109D,八方购物广场,17189,MALL_C9DCE2CC,八方购物广场,same_name_norm_same_district
10967,MALL_4BBBF595,兴旺购物中心,10966,MALL_D223B1C9,兴旺购物中心,same_name_norm_same_district
12213,MALL_EC4210FA,凤凰湖购物城,12212,MALL_2562BADD,凤凰湖购物城,same_name_norm_same_district
8975,MALL_25577C21,利群商厦,8974,MALL_40B3E116,利群商厦,same_name_norm_same_district
8976,MALL_465C1BC2,利群商厦,8974,MALL_40B3E116,利群商厦,same_name_norm_same_district
29608,MALL_E2F333E0,劲搏商城,29607,MALL_631ACB35,劲搏商城,same_name_norm_same_district
